id,amount,brand,lineage,name,product_type,product_subtype,url
30962,,Gold Leaf,hybrid,g6 vaporizer cartridge - gold leaf,vape,Cartridges,https://www.iheartjane.com/products/30962/g6+vaporizer+cartridge+-+gold+leaf
30963,500mg,Gold Leaf,hybrid,gelato vaporizer cartridge,vape,Cartridges,https://www.iheartjane.com/products/30963/gelato+vaporizer+cartridge+--+gold+leaf+%5B500mg%5D
30964,,Gold Leaf,sativa,ghost train haze vaporizer cartridge,vape,Cartridges,https://www.iheartjane.com/products/30964/ghost+train+haze+vaporizer+cartridge+-+gold+leaf
32459,40pk,Gold Leaf,cbd,1:1 orange gummy,edible,Capsules,https://www.iheartjane.com/products/32459/1%3A1+orange+gummy%3A+100mg+%3Ccbd-rich%3E+%7Bgold+leaf%7D
32508,200mg,Nature's Grace and Wellness,sativa,apple jack,vape,Disposables,https://www.iheartjane.com/products/32508/apple+jack+%5B200mg%5D
32510,200mg,Nature's Grace and Wellness,hybrid,birthday cake,vape,Disposables,https://www.iheartjane.com/products/32510/birthday+cake+%5B200mg%5D
32511,200mg,Nature's Grace and Wellness,,blueberry melon,vape,Disposables,https://www.iheartjane.com/products/32511/blueberry+melon+%5B200mg%5D
32512,200mg,Nature's Grace and Wellness,,fruity pebbles,vape,Disposables,https://www.iheartjane.com/products/32512/fruity+pebbles+%5B200mg%5D
32695,4pk,SCCS,cbd,chocolate penny cbd,edible,Chocolates,https://www.iheartjane.com/products/32695/chocolate+penny+cbd+%284-pack%29+-+sccs
64890,,SCCS,,chocolate penny thc/cbn,edible,Chocolates,https://www.iheartjane.com/products/64890/chocolate+penny+thc%2Fcbn+%284-pack%29+-+sccs
32713,,Nature's Grace and Wellness,hybrid,cannalope kush,vape,Cartridges,https://www.iheartjane.com/products/32713/cannalope+kush
32714,,Nature's Grace and Wellness,,chicago blue dream,vape,Cartridges,https://www.iheartjane.com/products/32714/chicago+blue+dream
39554,,Grassroots,indica,dead cherries,flower,,https://www.iheartjane.com/products/39554/dead+cherries
49179,,Cresco Labs,,cbn capsules (10-pack) -75mg- cresco,edible,Capsules,https://www.iheartjane.com/products/49179/cbn+capsules+%2810-pack%29+-75mg-+cresco
55330,,Grassroots,hybrid,granola funk,flower,,https://www.iheartjane.com/products/55330/granola+funk
57084,,Grassroots,hybrid,chem 4,flower,,https://www.iheartjane.com/products/57084/chem+4
58030,,Grassroots,hybrid,orange chem,flower,,https://www.iheartjane.com/products/58030/orange+chem
64439,,Grassroots,hybrid,chem dawg,flower,,https://www.iheartjane.com/products/64439/chem+dawg+%28gr%29
68677,,PharmaCannis,sativa,atf vaporizer cartridge - pharmacann,vape,Cartridges,https://www.iheartjane.com/products/68677/atf+vaporizer+cartridge+-+pharmacann
68678,,PharmaCannis,hybrid,dreamcatcher vaporizer cartridge - pharmacann,vape,Cartridges,https://www.iheartjane.com/products/68678/dreamcatcher+vaporizer+cartridge+-+pharmacann
78335,,PharmaCannis,hybrid,gogi og vaporizer cartridge - pharmacann,vape,Cartridges,https://www.iheartjane.com/products/78335/gogi+og+vaporizer+cartridge+-+pharmacann
78857,,Gold Leaf,hybrid,bruce banner #3,vape,Cartridges,https://www.iheartjane.com/products/78857/bruce+banner+%233
82412,,SCCS,,chocolate mint,flower,,https://www.iheartjane.com/products/82412/chocolate+mint
89341,,ieso,indica,gorilla biscuit vaporizer cartridge,vape,Cartridges,https://www.iheartjane.com/products/89341/gorilla+biscuit+vaporizer+cartridge+-+ieso
93683,,Gold Leaf,hybrid,citrix,vape,Cartridges,https://www.iheartjane.com/products/93683/citrix
95232,,ieso,indica,ds death star vaporizer cartridge,vape,Cartridges,https://www.iheartjane.com/products/95232/ds+death+star+vaporizer+cartridge+--+ieso+%5B500mg%5D
97210,4pk,SCCS,cbd,brownie pop cbd,edible,Baked Goods,https://www.iheartjane.com/products/97210/brownie+pop+cbd+%284-pack%29+-+sccs
39476,4pk,SCCS,,brownie pop thc,edible,Baked Goods,https://www.iheartjane.com/products/39476/brownie+pop+thc+%284-pack%29+-+sccs
97197,4pk,SCCS,,1:1 brownie pop,edible,Baked Goods,https://www.iheartjane.com/products/97197/brownie+pop+1%3A1+%284-pack%29+-+sccs
97215,,Nature's Grace and Wellness,,double durban kush,vape,Cartridges,https://www.iheartjane.com/products/97215/double+durban+kush
98409,,Gold Leaf,sativa,g6,pre-roll,Pre-Rolls,https://www.iheartjane.com/products/98409/g6
103896,,ieso,hybrid,cherrygasm,vape,Cartridges,https://www.iheartjane.com/products/103896/cherrygasm
103923,,Bedford Grow,,eazy peezy,vape,Cartridges,https://www.iheartjane.com/products/103923/eazy+peezy
111864,,ieso,,blueberry boost vaporizer cartridge,vape,Cartridges,https://www.iheartjane.com/products/111864/blueberry+boost+vaporizer+cartridge+-+ieso
113033,,Bedford Grow,hybrid,chemdahar,vape,Cartridges,https://www.iheartjane.com/products/113033/chemdahar
115695,,SCCS,,euphurkle,extract,Rosins,https://www.iheartjane.com/products/115695/euphurkle
120857,,Progressive Treatment Solutions (PTS),hybrid,gg#4,extract,Live Resins,https://www.iheartjane.com/products/120857/gg%234
104008,,Progressive Treatment Solutions (PTS),hybrid,sour kush sugar,extract,Live Resins,https://www.iheartjane.com/products/104008/sour+kush+sugar-pts-+%5B1g%5D
126174,,Progressive Treatment Solutions (PTS),sativa,pts live sauce,extract,Live Resins,https://www.iheartjane.com/products/126174/pts++live+sauce+-+1024+%5B1+g%5D
32462,10pk,Gold Leaf,sativa,dark chocolate sea salt,edible,Chocolates,https://www.iheartjane.com/products/32462/dark+chocolate+sea+salt+-sativa-+gold+leaf
65358,,Gold Leaf,,dark chocolate,edible,Chocolates,https://www.iheartjane.com/products/65358/dark+chocolate+%2810mg%29
78278,10pk,Gold Leaf,sativa,dark chocolate ataraxia,edible,Chocolates,https://www.iheartjane.com/products/78278/dark+chocolate+-+sativa+10pk+-+ataraxia
119802,10pk,Gold Leaf,hybrid,grape gummies,edible,Candies,https://www.iheartjane.com/products/119802/grape+gummies+-hybrid-+gold+leaf
30876,10pk,Gold Leaf,,grape gummies,edible,Candies,https://www.iheartjane.com/products/30876/grape+gummy%3A+100mg+%7Bgold+leaf%7D
57022,,Gold Leaf,,1:2 green apple,edible,Candies,https://www.iheartjane.com/products/57022/1%3A2+green+apple+%28100mg%29
104420,10pk,Gold Leaf,cbd,2:1 green apple,edible,Candies,https://www.iheartjane.com/products/104420/2%3A1+green+apple+%5B10pk%5D+%28100mg%29
112741,,Bedford Grow,hybrid,blockhead,extract,Other,https://www.iheartjane.com/products/112741/blockhead
126110,,Bedford Grow,hybrid,blockhead,extract,Waxes,https://www.iheartjane.com/products/126110/blockhead
120736,,Bedford Grow,,grape blockhead,extract,Waxes,https://www.iheartjane.com/products/120736/grape+blockhead
30933,,Gold Leaf,hybrid,gelato,extract,Waxes,https://www.iheartjane.com/products/30933/gelato
103501,4pk,Progressive Treatment Solutions (PTS),,fruit punch,edible,Drink Mixes,https://www.iheartjane.com/products/103501/fruit+punch+%5B4pk%5D+%28100mg%29
